Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71476086,1,"Tuesday, October 19, 2010 11:23:51 UTC",38.8233,-122.8055,1.1,3.20,24,"Northern California"
nc,71476091,2,"Tuesday, October 19, 2010 11:23:51 UTC",38.8245,-122.8063,1.2,3.10,36,"Northern California"
nc,71476076,3,"Tuesday, October 19, 2010 11:06:08 UTC",38.8253,-122.8055,2.0,3.20,57,"Northern California"
us,a00041sf,6,"Tuesday, October 19, 2010 10:58:17 UTC",-19.7732,-173.1263,5.0,10.00,25,"Tonga"
nc,71476071,0,"Tuesday, October 19, 2010 10:56:48 UTC",38.7858,-122.7745,1.3,0.40,13,"Northern California"
nn,00319018,7,"Tuesday, October 19, 2010 10:24:38 UTC",37.0863,-116.9867,1.1,13.10,12,"Nevada"
nc,71476061,2,"Tuesday, October 19, 2010 10:17:05 UTC",36.8138,-121.5380,1.0,3.30,27,"Central California"
hv,60185496,1,"Tuesday, October 19, 2010 10:13:34 UTC",19.2267,-155.2563,2.1,31.00,28,"Island of Hawaii, Hawaii"
us,a00041s9,6,"Tuesday, October 19, 2010 10:06:13 UTC",55.1409,160.2500,5.0,39.80,94,"Kamchatka Peninsula, Russia"
nn,00319013,7,"Tuesday, October 19, 2010 10:05:54 UTC",37.1026,-116.9832,1.1,9.60,10,"Nevada"
nc,71476051,1,"Tuesday, October 19, 2010 09:33:13 UTC",38.8118,-122.7945,1.3,3.30,27,"Northern California"
nn,00319010,7,"Tuesday, October 19, 2010 09:07:31 UTC",37.1613,-117.3721,1.8,10.50, 9,"Nevada"
nc,71476046,3,"Tuesday, October 19, 2010 09:01:41 UTC",36.8127,-121.5370,1.7,4.10,59,"Central California"
ak,10103653,1,"Tuesday, October 19, 2010 09:01:33 UTC",58.8589,-142.7865,2.9,15.10,23,"Gulf of Alaska"
nc,71476041,3,"Tuesday, October 19, 2010 08:59:39 UTC",36.8143,-121.5357,1.9,3.70,55,"Central California"
nc,71476036,3,"Tuesday, October 19, 2010 08:55:39 UTC",35.3123,-120.3105,3.0,8.80,77,"Central California"
nm,101910a,A,"Tuesday, October 19, 2010 08:55:24 UTC",35.3165,-92.2992,2.6,3.60,10,"Arkansas"
ci,14863548,4,"Tuesday, October 19, 2010 08:55:00 UTC",34.0207,-117.1178,1.2,15.70,43,"Greater Los Angeles area, California"
ak,10103639,1,"Tuesday, October 19, 2010 08:52:13 UTC",60.5979,-140.5698,1.8,4.70, 9,"Southern Yukon Territory, Canada"
pr,10292002,0,"Tuesday, October 19, 2010 08:50:58 UTC",17.9990,-68.1949,3.1,68.10,14,"Dominican Republic region"
nc,71476031,0,"Tuesday, October 19, 2010 08:49:57 UTC",38.8127,-122.7967,1.0,3.40,15,"Northern California"
ak,10103635,1,"Tuesday, October 19, 2010 08:47:03 UTC",60.8364,-147.4829,1.8,20.70,16,"Southern Alaska"
ci,14863532,4,"Tuesday, October 19, 2010 08:36:59 UTC",32.0510,-115.1330,2.8,10.00,11,"Baja California, Mexico"
ci,14863508,4,"Tuesday, October 19, 2010 08:24:17 UTC",34.6548,-116.2865,1.8,8.10,37,"Southern California"
nn,00319005,7,"Tuesday, October 19, 2010 08:23:56 UTC",37.1596,-117.3739,1.4,10.90, 7,"Nevada"
